Id,ave_sleep_time_hour,avg_time_bed_hour,wasted_bed_time_min
1503960366,6,6,22
1644430081,4,5,52
1844505072,10,16,309
1927972279,6,7,20
2026352035,8,8,31
2320127002,1,1,8
2347167796,7,8,44
3977333714,4,7,167
4020332650,5,6,30
4319703577,7,8,25
4388161847,6,7,23
4445114986,6,6,31
4558609924,2,2,12
4702921684,7,7,20
5553957443,7,8,42
5577150313,7,7,28
6117666160,7,8,31
6775888955,5,6,19
6962181067,7,7,18
7007744171,1,1,3
7086361926,7,7,13
8053475328,4,5,4
8378563200,7,8,39
8792009665,7,7,18
